algoritme;score;housecount
Random;21173490.0;40
Random;20505570.0;40
Random;20979180.0;40
Random;21705180.0;40
Random;20683020.0;40
Random;19838400.0;40
Random;21063030.0;40
Random;19857420.0;40
Random;23691150.0;40
Random;23713020.0;40
Random;19492620.0;40
Random;21885810.0;40
Random;21558390.0;40
Random;22363290.0;40
Random;21164880.0;40
Random;19959900.0;40
Random;21954750.0;40
Random;19951200.0;40
Random;21597690.0;40
Random;23152980.0;40
Random;21415170.0;40
Random;20897460.0;40
Random;25869900.0;40
Random;24128160.0;40
Random;20395920.0;40
Random;22433880.0;40
Random;23453760.0;40
Random;21602550.0;40
Random;21696420.0;40
Random;22230060.0;40
Random;22605390.0;40
Random;23664030.0;40
Random;20297670.0;40
Random;20824260.0;40
Random;20956620.0;40
Random;20530790.0;40
Random;21115740.0;40
Random;22813110.0;40
Random;21829860.0;40
Random;23718390.0;40
Random;20716290.0;40
Random;20854980.0;40
Random;23110290.0;40
Random;19130070.0;40
Random;22346520.0;40
Random;21266130.0;40
Random;21606480.0;40
Random;21421590.0;40
Random;21649710.0;40
Random;21834180.0;40
Random;23762130.0;40
Random;22819740.0;40
Random;22421160.0;40
Random;22228410.0;40
Random;21797340.0;40
Random;20257800.0;40
Random;23074290.0;40
Random;21753300.0;40
Random;22869960.0;40
Random;20181930.0;40
Random;21816870.0;40
Random;20804490.0;40
Random;23201010.0;40
Random;21588450.0;40
Random;20979540.0;40
Random;20799150.0;40
Random;20853300.0;40
Random;23082510.0;40
Random;22231860.0;40
Random;19421760.0;40
Random;22476750.0;40
Random;20310450.0;40
Random;25781040.0;40
Random;23306610.0;40
Random;21026820.0;40
Random;21085710.0;40
Random;20361870.0;40
Random;22280760.0;40
Random;22080210.0;40
Random;19721970.0;40
Random;20481720.0;40
Random;21766740.0;40
Random;20009700.0;40
Random;21033180.0;40
Random;20763810.0;40
Random;22148220.0;40
Random;24180210.0;40
Random;23907990.0;40
Random;20686560.0;40
Random;22822560.0;40
Random;22521990.0;40
Random;22103190.0;40
Random;20053920.0;40
Random;22337640.0;40
Random;22723020.0;40
Random;20860500.0;40
Random;19345320.0;40
Random;21817200.0;40
Random;20992590.0;40
Random;20173020.0;40
