sep =,
algoritme,score,housecount
Random,29243280.0,60
algoritme,score,housecount
Random,28760910.0,60
algoritme,score,housecount
Random,28476960.0,60
algoritme,score,housecount
Random,28422660.0,60
algoritme,score,housecount
Random,28470420.0,60
algoritme,score,housecount
Random,27438360.0,60
algoritme,score,housecount
Random,27856500.0,60
algoritme,score,housecount
Random,29548350.0,60
algoritme,score,housecount
Random,27049560.0,60
algoritme,score,housecount
Random,27067770.0,60
algoritme,score,housecount
Random,28855890.0,60
algoritme,score,housecount
Random,28944390.0,60
algoritme,score,housecount
Random,26490330.0,60
algoritme,score,housecount
Random,27719220.0,60
algoritme,score,housecount
Random,28978110.0,60
algoritme,score,housecount
Random,27280380.0,60
algoritme,score,housecount
Random,29550360.0,60
algoritme,score,housecount
Random,33533760.0,60
algoritme,score,housecount
Random,29206650.0,60
algoritme,score,housecount
Random,29834490.0,60
algoritme,score,housecount
Random,29407890.0,60
algoritme,score,housecount
Random,27872580.0,60
algoritme,score,housecount
Random,28014480.0,60
algoritme,score,housecount
Random,30916740.0,60
algoritme,score,housecount
Random,28663680.0,60
algoritme,score,housecount
Random,27985530.0,60
algoritme,score,housecount
Random,33909570.0,60
algoritme,score,housecount
Random,32459610.0,60
algoritme,score,housecount
Random,27170070.0,60
algoritme,score,housecount
Random,29889690.0,60
algoritme,score,housecount
Random,28779810.0,60
algoritme,score,housecount
Random,28680870.0,60
algoritme,score,housecount
Random,31476420.0,60
algoritme,score,housecount
Random,28668570.0,60
algoritme,score,housecount
Random,32610750.0,60
algoritme,score,housecount
Random,28535220.0,60
algoritme,score,housecount
Random,28389570.0,60
algoritme,score,housecount
Random,29131320.0,60
algoritme,score,housecount
Random,28976160.0,60
algoritme,score,housecount
Random,27632970.0,60
algoritme,score,housecount
Random,29638350.0,60
algoritme,score,housecount
Random,28008000.0,60
algoritme,score,housecount
Random,26875980.0,60
algoritme,score,housecount
Random,27946590.0,60
algoritme,score,housecount
Random,28658790.0,60
algoritme,score,housecount
Random,28816140.0,60
algoritme,score,housecount
Random,28185030.0,60
algoritme,score,housecount
Random,31528800.0,60
algoritme,score,housecount
Random,29247930.0,60
algoritme,score,housecount
Random,28139400.0,60
algoritme,score,housecount
Random,27392640.0,60
algoritme,score,housecount
Random,30940770.0,60
algoritme,score,housecount
Random,29424270.0,60
algoritme,score,housecount
Random,27863100.0,60
algoritme,score,housecount
Random,27963480.0,60
algoritme,score,housecount
Random,30166620.0,60
algoritme,score,housecount
Random,30516960.0,60
algoritme,score,housecount
Random,27037890.0,60
algoritme,score,housecount
Random,26704890.0,60
algoritme,score,housecount
Random,27399030.0,60
algoritme,score,housecount
Random,29042730.0,60
algoritme,score,housecount
Random,30952320.0,60
algoritme,score,housecount
Random,29370390.0,60
algoritme,score,housecount
Random,28879650.0,60
algoritme,score,housecount
Random,27145410.0,60
algoritme,score,housecount
Random,31875540.0,60
algoritme,score,housecount
Random,28513050.0,60
algoritme,score,housecount
Random,28763670.0,60
algoritme,score,housecount
Random,27875250.0,60
algoritme,score,housecount
Random,27133710.0,60
algoritme,score,housecount
Random,27761280.0,60
algoritme,score,housecount
Random,28346370.0,60
algoritme,score,housecount
Random,28707630.0,60
algoritme,score,housecount
Random,28402500.0,60
algoritme,score,housecount
Random,27936000.0,60
algoritme,score,housecount
Random,26420190.0,60
algoritme,score,housecount
Random,27636330.0,60
algoritme,score,housecount
Random,29715090.0,60
algoritme,score,housecount
Random,28001310.0,60
algoritme,score,housecount
Random,26861370.0,60
algoritme,score,housecount
Random,26592270.0,60
algoritme,score,housecount
Random,29963010.0,60
algoritme,score,housecount
Random,27546180.0,60
algoritme,score,housecount
Random,28352910.0,60
algoritme,score,housecount
Random,28310400.0,60
algoritme,score,housecount
Random,29940240.0,60
algoritme,score,housecount
Random,28008000.0,60
algoritme,score,housecount
Random,27287670.0,60
algoritme,score,housecount
Random,28131420.0,60
algoritme,score,housecount
Random,28228170.0,60
algoritme,score,housecount
Random,28000800.0,60
algoritme,score,housecount
Random,27830250.0,60
algoritme,score,housecount
Random,27944730.0,60
algoritme,score,housecount
Random,28044870.0,60
algoritme,score,housecount
Random,29482710.0,60
algoritme,score,housecount
Random,27492060.0,60
algoritme,score,housecount
Random,29419560.0,60
algoritme,score,housecount
Random,29580870.0,60
algoritme,score,housecount
Random,27887460.0,60
algoritme,score,housecount
Random,29541420.0,60
